,pitcher,batter,ballCount,type,speed,stance,crossPlateX,crossPlateY,topSz,bottomSz,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,strike,ball,out,base1,base2,base3,target,event_order,totalBallCount
273,52530,64646,1,직구,146.0,R,-0.610531,0.7083,3.294,1.616,-132.49,-8.11963,5.05882,5.79393,50.0,-1.94547,-8.25209,22.1747,-19.1329,0,0,2,2,0,1,B,274,2
274,52530,64646,2,직구,148.0,R,-0.369475,0.7083,3.294,1.616,-134.389,-5.52798,7.24462,5.85947,50.0,-1.94042,-16.3753,25.0796,-19.062,0,1,2,2,0,1,HO,275,3
275,52639,52591,1,직구,147.0,R,0.234113,0.7083,3.522,1.728,-133.177,-6.53006,-8.19402,5.16676,50.0,2.12948,17.0499,31.0884,-11.8303,0,0,0,0,0,0,T,276,5
276,52639,52591,2,체인지업,137.0,R,-0.026886,0.7083,3.522,1.728,-124.32,-2.75311,-7.67323,5.39162,50.0,1.82838,15.4093,24.476,-21.201,1,0,0,0,0,0,HO,277,6
277,52639,62802,1,직구,142.0,L,-2.53139,0.7083,3.442,1.689,-128.647,-4.17329,-12.0986,5.29817,50.0,1.67325,7.56679,22.2343,-12.1351,0,0,1,0,0,0,B,278,7
278,52639,62802,2,직구,144.0,L,-0.592754,0.7083,3.442,1.689,-130.961,-4.17464,-8.9171,5.2492,50.0,1.94709,12.5236,29.165,-11.483,0,1,1,0,0,0,F,279,8
279,52639,62802,3,직구,142.0,L,0.271501,0.7083,3.442,1.689,-129.038,0.077716,-6.37652,5.39351,50.0,2.03503,9.72088,23.4291,-18.4558,1,1,1,0,0,0,B,280,9
280,52639,62802,4,슬라이더,130.0,L,0.465137,0.7083,3.442,1.689,-118.495,-1.55994,-3.46555,5.34309,50.0,2.05622,-0.913917,22.9553,-27.6567,1,2,1,0,0,0,T,281,10
281,52639,62802,5,직구,141.0,L,-0.555369,0.7083,3.442,1.689,-128.406,-1.03902,-8.03225,5.28005,50.0,1.98466,8.39994,25.6039,-17.1801,2,2,1,0,0,0,F,282,11
282,52639,62802,6,직구,146.0,L,0.217497,0.7083,3.442,1.689,-132.393,-4.0459,-8.00228,5.27015,50.0,2.10181,16.2217,28.0262,-16.1599,3,2,1,0,0,0,F,283,12
283,52639,62802,7,슬라이더,130.0,L,1.51597,0.7083,3.442,1.689,-118.452,0.623728,-1.88954,5.39836,50.0,2.38958,-0.605391,20.6056,-30.514,4,2,1,0,0,0,B,284,13
284,52639,62802,8,직구,145.0,L,0.58151,0.7083,3.442,1.689,-131.412,-6.38249,-6.16781,5.10016,50.0,2.08888,11.8163,26.318,-14.2107,4,3,1,0,0,0,S,285,14
285,52639,50608,1,직구,145.0,R,-0.186831,0.7083,3.398,1.667,-131.419,-3.00845,-8.01773,5.10553,50.0,2.03929,11.8879,27.3396,-22.4219,0,0,2,0,0,0,1H,286,15
286,52639,69508,1,직구,143.0,R,-0.132953,0.7083,3.296,1.617,-130.264,-0.24026,-8.69183,5.31956,50.0,2.04009,16.1931,29.7389,-23.2828,0,0,2,9,0,0,T,287,16
287,52639,69508,2,체인지업,135.0,R,-0.238797,0.7083,3.296,1.617,-122.177,-7.39277,-8.20454,5.23142,50.0,1.90306,14.8823,28.5057,-21.6649,1,0,2,9,0,0,B,288,17
288,52639,69508,3,슬라이더,129.0,R,0.163207,0.7083,3.296,1.617,-117.412,1.61404,-4.2703,5.54101,50.0,2.12235,-0.840972,24.1953,-31.8126,1,1,2,9,0,0,T,289,18
289,52639,69508,4,직구,144.0,R,-0.358682,0.7083,3.296,1.617,-130.833,-3.81175,-9.37958,5.11943,50.0,2.13125,15.4643,26.5731,-18.256,2,1,2,9,0,0,T,290,19
290,52530,67609,1,직구,146.0,L,-1.88202,0.7083,3.278,1.608,-133.118,0.509724,2.99494,6.09548,50.0,-2.21414,-11.0565,28.3838,-19.6014,0,0,0,0,0,0,B,291,4
291,52530,67609,2,직구,145.0,L,0.162676,0.7083,3.278,1.608,-132.172,-4.7543,7.21806,5.97875,50.0,-1.92931,-9.45955,28.0042,-15.72,0,1,0,0,0,0,F,292,5
292,52530,67609,3,직구,146.0,L,-1.29122,0.7083,3.278,1.608,-133.183,-5.84864,3.7303,5.96007,50.0,-1.92697,-10.7912,29.2707,-14.7508,1,1,0,0,0,0,B,293,6
293,52530,67609,4,직구,147.0,L,0.97869,0.7083,3.278,1.608,-133.502,-4.48584,8.86704,6.00514,50.0,-1.70909,-9.77567,27.9308,-15.2265,1,2,0,0,0,0,HO,294,7
294,52530,64560,1,슬라이더,136.0,R,0.529211,0.7083,3.206,1.572,-123.791,-1.32435,5.48489,5.98025,50.0,-1.88238,1.57074,24.1924,-31.3161,0,0,1,0,0,0,T,295,8
295,52530,64560,2,커브,118.0,R,0.237203,0.7083,3.206,1.572,-107.585,-2.10382,3.47181,6.1224,50.0,-1.83328,3.59995,18.6258,-39.6447,1,0,1,0,0,0,B,296,9
296,52530,64560,3,직구,148.0,R,0.25183,0.7083,3.206,1.572,-134.253,-6.56375,7.31545,5.92419,50.0,-1.7844,-10.3936,27.3468,-14.9987,1,1,1,0,0,0,F,297,10
297,52530,64560,4,직구,149.0,R,-0.334356,0.7083,3.206,1.572,-135.182,-6.09047,4.9465,5.82981,50.0,-1.82482,-5.36244,27.5591,-17.5485,2,1,1,0,0,0,HO,298,11
298,52530,69636,1,직구,150.0,L,-0.604377,0.7083,3.441,1.688,-136.049,-6.13747,5.86035,5.93882,50.0,-1.98191,-11.7058,28.1896,-15.4264,0,0,2,0,0,0,T,299,12
299,52530,69636,2,커브,117.0,L,1.27669,0.7083,3.441,1.688,-106.758,-3.14639,5.50075,6.0612,50.0,-1.67005,2.62188,17.4937,-39.2483,1,0,2,0,0,0,B,300,13
300,52530,69636,3,직구,147.0,L,-0.348653,0.7083,3.441,1.688,-133.821,-8.79481,6.98535,5.83597,50.0,-1.93045,-14.9297,28.6373,-13.9212,1,1,2,0,0,0,F,301,14
